lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.07064493626736001,0.004104765425398643,15769,1114,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.072561669829222,0.004555430277254094,13175,956,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.0698869475847893,0.005878708180656278,7784,544,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,2,0.05627483655941546,0.005335809934742003,7801,439,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,2,0.05302381360287819,0.004213942622158087,11674,619,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,2,0.05822142924218236,0.004608879703879784,10649,620,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,2,0.05834976988823143,0.004306025976699143,12168,710,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,2,0.05241935483870968,0.004106000110504618,12152,637,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,2,0.05692982456140351,0.004404649996645409,11400,649,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,1,0.07273951843744739,0.003906314559925683,17817,1296,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,1,0.07555898226676946,0.00872949033817301,3891,294,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,1,0.07566912655578809,0.0056214219141844796,9079,687,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",-1,0,0,0,24,4,1,0.0655834315541337,0.004593914875750671,11878,779,0.0
