lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[2, 0, 0, -1]",0,0,0,0,36,4,2,0.02107337780473014,0.002594029976597516,13192,278,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[2, 0, 0, -1]",-1,1,0,0,36,4,2,0.020766683504518157,0.0021995745322230704,17817,370,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,36,4,2,0.06912245768738444,0.006167642810989887,7031,486,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[1, 0, 0, -1]",0,0,0,0,36,4,3,0.0016095365037849256,0.00030371912927159694,79526,128,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[1, 0, 0, -1]",1,0,0,0,36,4,3,0.0025635095023322156,0.00047348856527034506,51882,133,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[2, 1, 0, -1]",0,0,0,0,36,4,2,0.023295698156352723,0.002633127610206506,13994,326,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,0,0,0,36,8,2,0.07446009389671361,0.005140771041589581,10650,793,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,1,0,0,36,8,2,0.06962972197980302,0.004042605185751863,16042,1117,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[1, 0, 0, -1]",0,0,0,0,36,4,2,0.014592804624796542,0.0018683793920275214,17817,260,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[1, 0, 0, -1]",-1,0,0,0,36,4,2,0.01374661642163367,0.0017645403317156916,18841,259,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[1, 1, 0, -1]",0,0,0,0,36,4,2,0.013187916400474583,0.0015980306896829482,21914,289,0.0
